avg_d13C12C,avg_d18O16O,biotic,pred
-11.96684183,-7.11552770011111,biotic,biotic
-10.9508220488889,-6.48668720666667,biotic,abiotic
-11.9216775244444,-7.16448131888889,biotic,biotic
-13.5663817422222,-4.24840000255556,biotic,biotic
-11.0984557555556,-6.33353877033333,biotic,biotic
-11.09186659,-4.30904238833333,biotic,biotic
-13.5696767455556,-4.37344150511111,biotic,biotic
-13.7576544955556,-4.35590926111111,biotic,biotic
-11.9509188055556,-6.744631781,biotic,abiotic
-13.3457517511111,-4.34832065311111,biotic,abiotic
-11.5887532188889,-6.89465439211111,biotic,biotic
-11.9094940433333,-6.59499016111111,biotic,abiotic
-11.3548480177778,-6.265625862,biotic,biotic
-13.6740059855556,-4.49591170288889,biotic,biotic
-13.7032258122222,-4.44270704777778,biotic,biotic
-11.3793742955556,-4.37935509544444,biotic,biotic
-11.26257598,-4.38030603977778,biotic,biotic
-13.74228158,-4.51452943433333,biotic,biotic
-11.5465919511111,-6.78359553677778,biotic,abiotic
-10.3390775655556,-6.17309023055556,biotic,biotic
-13.6396812322222,-4.49077334744444,biotic,biotic
-11.6328333,-6.70081539111111,abiotic,abiotic
-11.9435554822222,-6.59131946311111,abiotic,abiotic
-11.9772244633333,-6.582490004,abiotic,abiotic
-10.99595332,-4.060324008,abiotic,abiotic
-11.6663239122222,-6.65330416677778,abiotic,abiotic
-11.94201558,-6.64233371344444,abiotic,abiotic
-11.9132071366667,-6.56507089,abiotic,abiotic
-10.9572023466667,-4.00362615577778,abiotic,abiotic
-11.4776983711111,-6.40075770677778,abiotic,biotic
-11.9155694511111,-6.59429962311111,abiotic,abiotic
-12.6112682111111,-4.587876734,abiotic,abiotic
-12.5436626533333,-4.55513580788889,abiotic,abiotic
-12.8425105255556,-4.82868216111111,abiotic,abiotic
-12.8629341011111,-4.89498173577778,abiotic,abiotic
-13.29435136,-4.33592047855556,abiotic,biotic
-13.6391286377778,-4.54346156488889,abiotic,biotic
-11.43668076,-6.66924672588889,abiotic,abiotic
-12.3595107522222,-4.98112401122222,abiotic,abiotic
-10.8529056511111,-4.39814591788889,abiotic,abiotic
-13.6549201588889,-4.70220221766667,abiotic,abiotic
-11.0291228777778,-6.65802433766667,abiotic,abiotic
-10.8085151355556,-4.46475493877778,abiotic,abiotic
-13.5814207988889,-4.59345602922222,abiotic,abiotic
-12.3125902922222,-5.08009897644444,abiotic,abiotic
-13.5870289188889,-4.62842294388889,abiotic,abiotic
-13.57004513,-4.72132939166667,abiotic,abiotic
-13.6191854122222,-4.70202958144444,abiotic,abiotic
-10.8803509522222,-4.60321419877778,abiotic,abiotic
-11.67497735,-6.75836714533333,abiotic,biotic
-12.8276289988889,-5.06432414444444,abiotic,abiotic
-12.8290384333333,-5.03957225177778,abiotic,abiotic
-13.23010514,-4.60903730644444,abiotic,abiotic
-13.9380087088889,-5.94757303311111,abiotic,abiotic
-13.5335501044444,-7.85680247011111,abiotic,abiotic
-13.2846818522222,-10.014683532,abiotic,abiotic
-13.9018757744444,-6.02565936855556,abiotic,abiotic
-13.7208484333333,-6.03196617566667,abiotic,abiotic
-13.44253789,-7.74737929977778,abiotic,abiotic
-13.1346127622222,-10.1521487677778,abiotic,abiotic
-12.7947493611111,-7.82165606922222,abiotic,abiotic
-13.6279809222222,-6.08795966644444,abiotic,abiotic
-13.6726681911111,-6.15525262344444,abiotic,abiotic
-13.6196433355556,-5.90625983955556,abiotic,abiotic
-13.4117764722222,-7.96988154266667,abiotic,abiotic
-13.6661623811111,-6.75973867977778,abiotic,abiotic
-11.9948002655556,-3.58039492344444,abiotic,abiotic
-12.2129438855556,-3.38378709722222,abiotic,abiotic
-13.3206457833333,-4.84997891244444,abiotic,abiotic
-12.9343480177778,-4.11606439411111,biotic,abiotic
-13.40334027,-6.14252362344444,biotic,abiotic
-13.3951511355556,-4.59896027822222,abiotic,abiotic
-14.4639111677778,-5.14024370566667,biotic,biotic
-13.8770578611111,-4.47283292155556,biotic,biotic
-14.2222362744444,-4.29695778944444,biotic,biotic
-13.88241379,-9.05413749944444,biotic,abiotic
-12.7778489244444,-3.96092492366667,abiotic,abiotic
-11.8138891344444,-8.88118711422222,abiotic,biotic
-13.0732741055556,-6.03190059788889,biotic,abiotic
-13.73440853,-3.932055861,biotic,abiotic
-11.9708312855556,-4.07540022811111,abiotic,abiotic
-13.4568356688889,-3.79631041811111,biotic,biotic
-12.7787199188889,-3.93347808366667,biotic,abiotic
-13.2214460744444,-3.81970817955556,abiotic,biotic
-12.8467010966667,-9.11403655955556,biotic,abiotic
-14.3813446355556,-4.18854040855556,biotic,biotic
-12.82891191,-4.04996286744444,abiotic,abiotic
-13.2771588033333,-3.71845137811111,biotic,abiotic
-14.0000233044444,-4.60315618766667,abiotic,biotic
-14.51034268,-4.76891099,biotic,biotic
-12.6038483766667,-8.96695072944445,abiotic,biotic
-14.2175604811111,-4.77600199211111,abiotic,biotic
-12.77259119,-3.89608076444444,abiotic,biotic
-13.4642392711111,-4.63886023922222,abiotic,abiotic
-12.8346836711111,-9.07319115288889,abiotic,abiotic
-14.43012816,-4.21099065133333,abiotic,biotic
-13.3991076433333,-3.89704201966667,biotic,biotic
-12.7644943266667,-4.27897828922222,abiotic,abiotic
-13.4689840533333,-4.656358188,abiotic,abiotic
-12.8055664011111,-3.62188636477778,abiotic,biotic
-12.9645901588889,-6.085841958,abiotic,biotic
-12.8581059911111,-5.98792144355556,abiotic,abiotic
-12.61056295,-8.978777259,biotic,abiotic
-12.4429242288889,-3.75579293922222,abiotic,abiotic
-13.1947528377778,-3.77321317555556,abiotic,biotic
-13.3954761544444,-4.42391143233333,abiotic,biotic
-13.4735790733333,-9.06116994755556,abiotic,abiotic
-14.2449314444444,-4.68425179933333,biotic,biotic
-12.69113766,-3.60138863133333,biotic,abiotic
-13.0050390455556,-4.06762870255556,biotic,abiotic
-11.7036672,-6.820315067,biotic,biotic
-10.2737282127778,-6.32898826822222,biotic,biotic
-11.2055678511111,-4.36074703544444,biotic,biotic
-11.3241921444444,-4.33067102655556,biotic,biotic
-11.3102270755556,-4.37797049888889,biotic,biotic
-10.3650724955556,-6.237474006,biotic,biotic
-10.9927729166667,-3.98683862577778,abiotic,abiotic
-13.8909242133333,-3.998460305,abiotic,biotic
-11.9224540866667,-6.64322977877778,abiotic,abiotic
-11.0114897066667,-4.09279323611111,abiotic,abiotic
-13.7067253755556,-4.07125141766667,abiotic,biotic
-11.0068601133333,-4.04936813522222,abiotic,abiotic
-11.4774773222222,-6.67546497911111,abiotic,abiotic
-11.0908802077778,-6.72653567866667,abiotic,biotic
-11.6667473933333,-6.536564251,abiotic,abiotic
-12.3561821511111,-5.12674995922222,abiotic,abiotic
-13.8658994277778,-6.17347210333333,abiotic,abiotic
-14.1197496866667,-4.72167652155556,biotic,biotic
-11.9976247455556,-3.728090445,abiotic,abiotic
-13.28340894,-3.99583500633333,abiotic,biotic
-13.5681928077778,-4.65611288488889,abiotic,abiotic
-12.7420485355556,-9.06014764888889,abiotic,abiotic
-14.0280773622222,-9.128653348,biotic,biotic
-14.0077872922222,-4.96663302322222,biotic,abiotic
-13.9718803511111,-5.13695663733333,abiotic,biotic
-13.6499167011111,-9.05841408311111,abiotic,abiotic
-13.13631343,-3.84101063122222,biotic,abiotic
-14.0403141855556,-4.64304772066667,biotic,biotic
-12.7550597277778,-9.11878554088889,abiotic,abiotic
-13.4601307333333,-9.14627379655555,abiotic,abiotic
