diff2_acf1,trend,linearity,unitroot_kpss,fluctanal_prop_r1,motiftwo_entro3,outlierinclude_mdrmd,avg_rR45CO244CO2,sd_rR45CO244CO2,avg_rR46CO244CO2,avg_R45CO244CO2,sd_R45CO244CO2,avg_rd45CO244CO2,sd_rd45CO244CO2,avg_d45CO244CO2,sd_d45CO244CO2,avg_R13C12C,sd_R13C12C,avg_d13C12C,sd_d13C12C,avg_d18O13C,sd_d18O13C
diff2_acf1,1,-0.982818219865325,0.853165737912701,-0.815511881523918,-0.0908506372521124,0.714983848175589,0.588986865473287,0.0944830173902552,0.0464014930692525,-0.0761320601865587,-0.367032821919063,0.045740799765844,-0.36703240420314,0.0457478658166598,-0.367032404202338,0.0457478678054264,-0.348658563943343,0.0430136353786368,-0.348658450123214,0.043008728481191,0.165795327610751,-0.0911604926148599
trend,-0.982818219865325,1,-0.886186462396565,0.864059549119977,0.0994904179259264,-0.795381803008281,-0.661646338207373,-0.14723920702589,0.0195716750982819,0.036675576062191,0.358378588434555,0.0202672638315837,0.358377975150211,0.0202561815324592,0.358377975128639,0.0202561800274397,0.341772065640702,0.0230956002157698,0.341772068841862,0.0230981634675138,-0.138512631215502,0.111938592797825
linearity,0.853165737912701,-0.886186462396565,1,-0.985995983384176,0.155060312615281,0.916407368870554,0.772647030830619,0.124283062132172,0.108851444765831,0.0476664697173282,-0.402706028691719,0.108047091719036,-0.402705660042783,0.108066730092201,-0.402705659998665,0.108066730619779,-0.391997390057839,0.103636696625178,-0.391997421501962,0.10363662101819,0.0340749808229231,-0.131049057848896
unitroot_kpss,-0.815511881523918,0.864059549119977,-0.985995983384176,1,-0.144162710635012,-0.920786375138531,-0.829947413560057,-0.158136939523347,-0.0650945841521081,-0.0775272865937966,0.333371173119446,-0.0643537903018077,0.333370685740614,-0.0643755294496756,0.333370685670905,-0.064375530423704,0.325945992986886,-0.0604038551561678,0.325945907554946,-0.0604061693919036,-0.00282902999205912,0.133538144755297
fluctanal_prop_r1,-0.0908506372521124,0.0994904179259264,0.155060312615281,-0.144162710635012,1,0.227265163499997,0.0874064369835494,0.174659644174052,0.100623511786367,0.214915732914325,-0.171518894324099,0.10028867113336,-0.17151973775734,0.100306465611768,-0.171519737850479,0.100306462486349,-0.180072081322046,0.0991821047933948,-0.180071681190485,0.0992094595705812,-0.182717259709458,0.0773924872473479
motiftwo_entro3,0.714983848175589,-0.795381803008281,0.916407368870554,-0.920786375138531,0.227265163499997,1,0.772673100485281,0.236865446571747,-0.0370168465490181,0.171057754234697,-0.408112339122253,-0.0379059192744316,-0.408111948492129,-0.0378864818602941,-0.408111948462309,-0.0378864833091933,-0.403082754644782,-0.0414774808066716,-0.403082925716066,-0.0414718261293169,-0.0623541016139333,-0.148260453703824
outlierinclude_mdrmd,0.588986865473287,-0.661646338207373,0.772647030830619,-0.829947413560057,0.0874064369835494,0.772673100485281,1,0.342034859536609,-0.27339190714657,0.0650672989274649,0.044382443737874,-0.273938425914547,0.0443827467305155,-0.273915781437466,0.0443827467960087,-0.273915778727299,0.0461062646989105,-0.276765762190237,0.0461058565636732,-0.276759353694541,0.0219497092348647,-0.1260383881836
avg_rR45CO244CO2,0.0944830173902552,-0.14723920702589,0.124283062132172,-0.158136939523347,0.174659644174052,0.236865446571747,0.342034859536609,1,-0.292130406986486,0.0859548808435359,0.509230473194175,-0.292564464777645,0.509229972217893,-0.292565754747037,0.509229972140415,-0.292565749826105,0.512078324517171,-0.292168255962364,0.512079002931585,-0.292150118951118,0.196290304919059,0.211326925256881
sd_rR45CO244CO2,0.0464014930692525,0.0195716750982819,0.108851444765831,-0.0650945841521081,0.100623511786367,-0.0370168465490181,-0.27339190714657,-0.292130406986486,1,-0.224653925528745,-0.265147580737772,0.999998708545058,-0.265147484358164,0.999998741804647,-0.265147484419032,0.999998741803383,-0.251005837835125,0.999931487699982,-0.251004642451274,0.999931637207716,0.170841845011419,0.476224884266198
avg_rR46CO244CO2,-0.0761320601865587,0.036675576062191,0.0476664697173282,-0.0775272865937966,0.214915732914325,0.171057754234697,0.0650672989274649,0.0859548808435359,-0.224653925528745,1,-0.239207083680955,-0.224759400633221,-0.239207230482493,-0.224750484106245,-0.23920723042907,-0.22475048343821,-0.291446537532742,-0.225774286461768,-0.291446768214355,-0.225745750189019,-0.944334647223522,-0.498696897558186
avg_R45CO244CO2,-0.367032821919063,0.358378588434555,-0.402706028691719,0.333371173119446,-0.171518894324099,-0.408112339122253,0.044382443737874,0.509230473194175,-0.265147580737772,-0.239207083680955,1,-0.264361716938404,0.99999999996371,-0.264379501024066,0.99999999996371,-0.264379495505689,0.998330212848903,-0.261706797335809,0.998330185889498,-0.261703641739096,0.287895665557362,0.339471748556791
sd_R45CO244CO2,0.045740799765844,0.0202672638315837,0.108047091719036,-0.0643537903018077,0.10028867113336,-0.0379059192744316,-0.273938425914547,-0.292564464777645,0.999998708545058,-0.224759400633221,-0.264361716938404,1,-0.264361618806194,0.999999987208216,-0.26436161886698,0.999999987208478,-0.250244711002639,0.99993680077222,-0.250243516690905,0.999936965172338,0.170717601700939,0.476583112115672
avg_rd45CO244CO2,-0.36703240420314,0.358377975150211,-0.402705660042783,0.333370685740614,-0.17151973775734,-0.408111948492129,0.0443827467305155,0.509229972217893,-0.265147484358164,-0.239207230482493,0.99999999996371,-0.264361618806194,1,-0.2643794028556,1,-0.264379397337211,0.998330209460771,-0.261706689781706,0.998330182505028,-0.261703534103833,0.287895620873663,0.339472741728043
sd_rd45CO244CO2,0.0457478658166598,0.0202561815324592,0.108066730092201,-0.0643755294496756,0.100306465611768,-0.0378864818602941,-0.273915781437466,-0.292565754747037,0.999998741804647,-0.224750484106245,-0.264379501024066,0.999999987208216,-0.2643794028556,1,-0.264379402916346,1,-0.250262684820842,0.999936772032627,-0.250261490496952,0.999936938532005,0.170708453882474,0.476590898876585
avg_d45CO244CO2,-0.367032404202338,0.358377975128639,-0.402705659998665,0.333370685670905,-0.171519737850479,-0.408111948462309,0.0443827467960087,0.509229972140415,-0.265147484419032,-0.23920723042907,0.99999999996371,-0.26436161886698,1,-0.264379402916346,1,-0.264379397397957,0.998330209456379,-0.261706689843003,0.998330182500635,-0.26170353416515,0.287895620793495,0.33947274167946
sd_d45CO244CO2,0.0457478678054264,0.0202561800274397,0.108066730619779,-0.064375530423704,0.100306462486349,-0.0378864833091933,-0.273915778727299,-0.292565749826105,0.999998741803383,-0.22475048343821,-0.264379495505689,0.999999987208478,-0.264379397337211,1,-0.264379397397957,1,-0.250262679368015,0.999936772033193,-0.250261485044125,0.999936938532511,0.170708454225436,0.476590899469622
avg_R13C12C,-0.348658563943343,0.341772065640702,-0.391997390057839,0.325945992986886,-0.180072081322046,-0.403082754644782,0.0461062646989105,0.512078324517171,-0.251005837835125,-0.291446537532742,0.998330212848903,-0.250244711002639,0.998330209460771,-0.250262684820842,0.998330209456379,-0.250262679368015,1,-0.247591474619718,0.999999999969029,-0.24758988592906,0.342591085973954,0.364784004710439
sd_R13C12C,0.0430136353786368,0.0230956002157698,0.103636696625178,-0.0604038551561678,0.0991821047933948,-0.0414774808066716,-0.276765762190237,-0.292168255962364,0.999931487699982,-0.225774286461768,-0.261706797335809,0.99993680077222,-0.261706689781706,0.999936772032627,-0.261706689843003,0.999936772033193,-0.247591474619718,1,-0.247590273626008,0.999999987574661,0.171551478686358,0.481246395557615
avg_d13C12C,-0.348658450123214,0.341772068841862,-0.391997421501962,0.325945907554946,-0.180071681190485,-0.403082925716066,0.0461058565636732,0.512079002931585,-0.251004642451274,-0.291446768214355,0.998330185889498,-0.250243516690905,0.998330182505028,-0.250261490496952,0.998330182500635,-0.250261485044125,0.999999999969029,-0.247590273626008,1,-0.247588684879571,0.342591582466383,0.364785358980683
sd_d13C12C,0.043008728481191,0.0230981634675138,0.10363662101819,-0.0604061693919036,0.0992094595705812,-0.0414718261293169,-0.276759353694541,-0.292150118951118,0.999931637207716,-0.225745750189019,-0.261703641739096,0.999936965172338,-0.261703534103833,0.999936938532005,-0.26170353416515,0.999936938532511,-0.24758988592906,0.999999987574661,-0.247588684879571,1,0.171526610125925,0.481242075482797
avg_d18O13C,0.165795327610751,-0.138512631215502,0.0340749808229231,-0.00282902999205912,-0.182717259709458,-0.0623541016139333,0.0219497092348647,0.196290304919059,0.170841845011419,-0.944334647223522,0.287895665557362,0.170717601700939,0.287895620873663,0.170708453882474,0.287895620793495,0.170708454225436,0.342591085973954,0.171551478686358,0.342591582466383,0.171526610125925,1,0.543549957752868
sd_d18O13C,-0.0911604926148599,0.111938592797825,-0.131049057848896,0.133538144755297,0.0773924872473479,-0.148260453703824,-0.1260383881836,0.211326925256881,0.476224884266198,-0.498696897558186,0.339471748556791,0.476583112115672,0.339472741728043,0.476590898876585,0.33947274167946,0.476590899469622,0.364784004710439,0.481246395557615,0.364785358980683,0.481242075482797,0.543549957752868,1
