Analysis,diff2_acf1,time_kl_shift,fluctanal_prop_r1,avg_rR45CO244CO2,avg_R45CO244CO2,sd_d18O13C,biotic,pred.abiotic,pred.biotic
2961,0.7343175, 133,0.4081633,1.178875,0.01184810,0.0031791663,biotic,0.108838698,0.891161302
2962,0.7091780, 133,0.4693878,1.180019,0.01185972,0.0098397383,biotic,0.265666359,0.734333641
2963,0.7348665, 133,0.4081633,1.178937,0.01184859,0.0027731752,biotic,0.142662430,0.857337570
2965,0.7241026, 133,0.4081633,1.176910,0.01183141,0.0030063026,biotic,0.125152907,0.874847093
2966,0.7023151, 133,0.4897959,1.179907,0.01185814,0.0078407979,biotic,0.266853500,0.733146500
2968,0.7374716, 133,0.4081633,1.179628,0.01185905,0.0041682662,biotic,0.196786974,0.803213026
2970,0.7216506, 133,0.4081633,1.177199,0.01183132,0.0034202077,biotic,0.216177108,0.783822892
2972,0.7370908,4038,0.4081633,1.178887,0.01185117,0.0020448320,biotic,0.279957436,0.720042564
2973,0.7241975, 133,0.4081633,1.176757,0.01182923,0.0025653659,biotic,0.091413400,0.908586600
2975,0.7724049, 991,0.4081633,1.180777,0.01186736,0.0100719560,biotic,0.444159665,0.555840335
2976,0.7319591, 133,0.4081633,1.178848,0.01184843,0.0027242025,biotic,0.119924337,0.880075663
2977,0.7237835, 133,0.4081633,1.177388,0.01183384,0.0021886709,biotic,0.209748433,0.790251567
2978,0.7340353, 133,0.4081633,1.179193,0.01185242,0.0036372747,biotic,0.104007544,0.895992456
2979,0.7335709, 133,0.4081633,1.179674,0.01185776,0.0029443367,biotic,0.119586090,0.880413910
2981,0.7323611,4038,0.4081633,1.179484,0.01185645,0.0027917005,biotic,0.172528886,0.827471114
2983,0.7318457,4038,0.4081633,1.178605,0.01184896,0.0032035052,biotic,0.205820768,0.794179232
2984,0.6960229,4038,0.4897959,1.179249,0.01185530,0.0067673466,biotic,0.364934423,0.635065577
2985,0.7317734, 133,0.4081633,1.179350,0.01185658,0.0022213386,biotic,0.138060761,0.861939239
2986,0.7277660,4038,0.4081633,1.176681,0.01183011,0.0044081532,biotic,0.257061884,0.742938116
2987,0.7262693, 133,0.4081633,1.176695,0.01182980,0.0029666785,biotic,0.088310066,0.911689934
2988,0.7328505, 133,0.4081633,1.179329,0.01185581,0.0025110172,biotic,0.113818531,0.886181469
2989,0.7604327, 133,0.4081633,1.180375,0.01186637,0.0113517121,biotic,0.319467867,0.680532133
2990,0.7345754, 133,0.4081633,1.179511,0.01185711,0.0040429822,biotic,0.085917027,0.914082973
2993,0.7192173, 133,0.4081633,1.176823,0.01182933,0.0040206059,biotic,0.163449456,0.836550544
2995,0.7355944,4038,0.4081633,1.179124,0.01185294,0.0042985640,biotic,0.189112964,0.810887036
2998,0.7537106, 133,0.3469388,1.180447,0.01186669,0.0102724239,biotic,0.742868988,0.257131012
3001,0.7297273,4038,0.4081633,1.176862,0.01183049,0.0023231587,biotic,0.279198132,0.720801868
3233,0.7345147, 133,0.3469388,1.179932,0.01186029,0.0030121250,abiotic,0.899744719,0.100255281
3234,0.7224837, 133,0.3469388,1.176711,0.01182789,0.0022800490,abiotic,0.816479680,0.183520320
3240,0.6878918, 133,0.4897959,1.178466,0.01184879,0.0034991473,abiotic,0.326688044,0.673311956
3241,0.7325028, 133,0.3469388,1.178833,0.01185201,0.0048357816,abiotic,0.870910289,0.129089711
3242,0.7292056, 133,0.3469388,1.178483,0.01184858,0.0020466550,abiotic,0.957765876,0.042234124
3250,0.7277659, 133,0.3469388,1.178436,0.01184821,0.0031556884,abiotic,0.955087485,0.044912515
3253,0.7276136,4038,0.3469388,1.179781,0.01186023,0.0033575774,abiotic,0.950894274,0.049105726
3257,0.7280582, 133,0.3469388,1.179619,0.01186004,0.0028280813,abiotic,0.957378352,0.042621648
3259,0.7270373,4038,0.3469388,1.179401,0.01185165,0.0052408655,abiotic,0.957144937,0.042855063
3260,0.7264256,4038,0.3469388,1.178366,0.01184858,0.0033274030,abiotic,0.959219009,0.040780991
3261,0.7089696, 133,0.3469388,1.177286,0.01182992,0.0019847142,abiotic,0.948266049,0.051733951
3263,0.7255711, 133,0.3469388,1.179119,0.01184893,0.0029718649,abiotic,0.961451139,0.038548861
3265,0.7301480, 133,0.3469388,1.180297,0.01186068,0.0027591847,abiotic,0.947469461,0.052530539
3267,0.7274183, 133,0.3469388,1.180178,0.01186011,0.0033387427,abiotic,0.972337757,0.027662243
3272,0.7081270, 133,0.3877551,1.179541,0.01185387,0.0058084361,abiotic,0.730971520,0.269028480
3274,0.7246877,4038,0.3469388,1.179017,0.01184889,0.0041800593,abiotic,0.957703833,0.042296167
4922,0.7982451, 323,0.4081633,1.179639,0.01184195,0.0025081101,abiotic,0.976070065,0.023929935
4925,0.7999736, 323,0.4081633,1.179317,0.01184272,0.0023384967,abiotic,0.965605122,0.034394878
4929,0.7936637, 323,0.4081633,1.179364,0.01183926,0.0062595636,abiotic,0.879307763,0.120692237
4932,0.7945898, 323,0.4081633,1.179666,0.01183901,0.0040645448,abiotic,0.969929797,0.030070203
4935,0.7141032, 323,0.4081633,1.178858,0.01183442,0.0032494035,abiotic,0.732114996,0.267885004
4936,0.7136403, 799,0.4081633,1.178574,0.01183048,0.0037202644,abiotic,0.750825511,0.249174489
4937,0.7299778, 323,0.4081633,1.181001,0.01185421,0.0033778930,abiotic,0.974846127,0.025153873
4940,0.8012233, 323,0.4081633,1.180186,0.01184460,0.0030793410,abiotic,0.972567934,0.027432066
4941,0.7314133, 323,0.4081633,1.181110,0.01185376,0.0034734217,abiotic,0.946800821,0.053199179
4942,0.7318970, 323,0.4081633,1.181924,0.01186169,0.0037144690,abiotic,0.922940146,0.077059854
4946,0.7129933, 323,0.4081633,1.178882,0.01183023,0.0033881095,abiotic,0.723613242,0.276386758
4948,0.7226304, 323,0.4081633,1.182265,0.01185806,0.0040858275,abiotic,0.954259862,0.045740138
4949,0.7228893, 133,0.4081633,1.181149,0.01185878,0.0066304286,abiotic,0.708259144,0.291740856
4951,0.7305412, 323,0.4081633,1.181128,0.01185170,0.0039447561,abiotic,0.972886700,0.027113300
4952,0.7330945, 799,0.4081633,1.181529,0.01186216,0.0023504778,abiotic,0.891386583,0.108613417
4953,0.7141416, 323,0.4081633,1.179086,0.01183110,0.0049043379,abiotic,0.761005440,0.238994560
4959,0.7996392, 323,0.4081633,1.179908,0.01184508,0.0034136075,abiotic,0.976659459,0.023340541
4960,0.7134062, 799,0.4081633,1.178491,0.01183102,0.0034563653,abiotic,0.723626549,0.276373451
4961,0.7127946, 323,0.4081633,1.179162,0.01183117,0.0038001086,abiotic,0.782191219,0.217808781
4963,0.7992761, 133,0.4081633,1.181031,0.01184458,0.0029049327,abiotic,0.978089393,0.021910607
4964,0.7141482, 799,0.4081633,1.179657,0.01183063,0.0031259112,abiotic,0.797565261,0.202434739
4965,0.7306623, 323,0.4081633,1.181532,0.01186129,0.0040793428,abiotic,0.969063420,0.030936580
4966,0.7295379, 323,0.4081633,1.180525,0.01185151,0.0016871150,abiotic,0.550638609,0.449361391
4968,0.7962875, 323,0.4081633,1.179345,0.01183933,0.0029124394,abiotic,0.975459536,0.024540464
4969,0.7964917, 323,0.4081633,1.179357,0.01183933,0.0033202422,abiotic,0.976141496,0.023858504
4973,0.7104372, 799,0.4081633,1.179532,0.01183502,0.0028016598,abiotic,0.759534166,0.240465834
5757,0.8067264, 133,0.3877551,1.178544,0.01182655,0.0021637762,abiotic,0.968892755,0.031107245
5758,0.7930042, 323,0.3469388,1.179790,0.01183028,0.0048195255,abiotic,0.992008948,0.007991052
5759,0.7927928, 323,0.3469388,1.180032,0.01183216,0.0057205855,abiotic,0.990006362,0.009993638
5763,0.8053842, 133,0.3877551,1.179390,0.01182692,0.0029692918,abiotic,0.976122349,0.023877651
5766,0.8053993, 133,0.3877551,1.178638,0.01182894,0.0014700641,abiotic,0.975060990,0.024939010
5769,0.7980580, 133,0.3469388,1.179039,0.01183134,0.0043274723,abiotic,0.996860935,0.003139065
5770,0.7952637, 133,0.3469388,1.179302,0.01183378,0.0042665233,abiotic,0.997145364,0.002854636
5771,0.7881072, 323,0.3469388,1.179825,0.01183855,0.0034410849,abiotic,0.941652918,0.058347082
5774,0.8150734, 133,0.3877551,1.178958,0.01182996,0.0023301154,abiotic,0.935209606,0.064790394
5776,0.8100295, 133,0.3877551,1.178898,0.01182943,0.0026827105,abiotic,0.994245500,0.005754500
5779,0.8135602, 133,0.3877551,1.178883,0.01183013,0.0009174806,abiotic,0.932313419,0.067686581
5780,0.7970520, 133,0.3469388,1.179055,0.01183159,0.0023302755,abiotic,0.996131096,0.003868904
5782,0.8175877, 133,0.3877551,1.178656,0.01182726,0.0018710743,abiotic,0.898819158,0.101180842
5784,0.7925560, 133,0.3469388,1.178872,0.01182925,0.0042492227,abiotic,0.989232260,0.010767740
5878,0.7466949, 133,0.4285714,1.180810,0.01184926,0.0025412978,abiotic,0.690884203,0.309115797
5879,0.7449053, 133,0.4285714,1.180692,0.01184690,0.0019490995,abiotic,0.539986385,0.460013615
5880,0.7997892, 133,0.4285714,1.179478,0.01183391,0.0030059710,abiotic,0.942894625,0.057105375
5882,0.7448161, 133,0.4285714,1.179985,0.01183853,0.0062765166,biotic,0.359338093,0.640661907
5884,0.7766260, 133,0.4285714,1.179371,0.01183245,0.0032721929,biotic,0.629574922,0.370425078
5885,0.7662632, 133,0.4285714,1.178715,0.01182503,0.0022746695,biotic,0.167896076,0.832103924
5886,0.7963583, 133,0.4285714,1.179510,0.01183318,0.0021320713,abiotic,0.956940491,0.043059509
5887,0.7775482, 133,0.4285714,1.178268,0.01182101,0.0025869284,biotic,0.199464216,0.800535784
5892,0.7634053, 133,0.4081633,1.178479,0.01182784,0.0032075651,biotic,0.263416145,0.736583855
5893,0.7206214, 133,0.4285714,1.178229,0.01182406,0.0035013231,biotic,0.179590940,0.820409060
5894,0.7920167, 133,0.4285714,1.178485,0.01182588,0.0077897182,biotic,0.570555124,0.429444876
5895,0.7560167, 133,0.4285714,1.179983,0.01184035,0.0024359967,abiotic,0.663670915,0.336329085
5896,0.7496133, 133,0.4285714,1.180941,0.01184908,0.0056735789,abiotic,0.895855172,0.104144828
5897,0.7531726, 133,0.4285714,1.179673,0.01183618,0.0032231290,biotic,0.532227646,0.467772354
5898,0.7374604, 133,0.4285714,1.181015,0.01184917,0.0031193539,abiotic,0.845951029,0.154048971
5900,0.7567899, 133,0.4285714,1.179644,0.01183468,0.0025069118,abiotic,0.442878141,0.557121859
5901,0.7426629, 133,0.4285714,1.179169,0.01182966,0.0030091811,biotic,0.195901937,0.804098063
5902,0.7477883, 133,0.4285714,1.181157,0.01184932,0.0023301167,abiotic,0.945447312,0.054552688
5904,0.7967875, 133,0.4285714,1.179370,0.01183122,0.0021666076,abiotic,0.928240911,0.071759089
5905,0.7744546, 133,0.4285714,1.180083,0.01183862,0.0056647695,abiotic,0.673145086,0.326854914
5907,0.7868789, 133,0.4285714,1.179214,0.01182422,0.0066973847,biotic,0.490116973,0.509883027
5908,0.7345863, 133,0.4285714,1.180010,0.01183282,0.0040303670,biotic,0.208331963,0.791668037
5909,0.7699054, 133,0.4285714,1.179359,0.01182618,0.0022340256,biotic,0.302415283,0.697584717
5912,0.7414469, 133,0.4285714,1.180869,0.01184035,0.0037751600,biotic,0.894811016,0.105188984
5914,0.7583979, 133,0.4285714,1.180324,0.01183545,0.0014012428,abiotic,0.710337024,0.289662976
5916,0.7504469, 133,0.4285714,1.180563,0.01183743,0.0061899350,biotic,0.622563100,0.377436900
5918,0.7119708, 133,0.4285714,1.178994,0.01182233,0.0035875529,biotic,0.406118552,0.593881448
5919,0.7634099, 133,0.4285714,1.180842,0.01183974,0.0028608297,abiotic,0.801450695,0.198549305
5920,0.7376875, 323,0.4285714,1.180359,0.01183487,0.0021768404,biotic,0.496726629,0.503273371
5924,0.7386125, 133,0.4285714,1.178956,0.01182642,0.0031582460,abiotic,0.061946886,0.938053114
5925,0.8047436, 133,0.4285714,1.179075,0.01182651,0.0021329943,abiotic,0.762728401,0.237271599
5926,0.7532642, 133,0.4285714,1.178534,0.01182064,0.0030350459,biotic,0.152311725,0.847688275
5927,0.7649563, 133,0.4285714,1.180503,0.01184021,0.0060119523,abiotic,0.610709970,0.389290030
5928,0.7862925, 133,0.4285714,1.178939,0.01182391,0.0024221122,abiotic,0.227024417,0.772975583
5930,0.7501460, 133,0.4285714,1.180675,0.01184043,0.0019248544,abiotic,0.689428527,0.310571473
5931,0.7955226, 133,0.4285714,1.179840,0.01183239,0.0013367649,abiotic,0.875535073,0.124464927
5933,0.8107912, 133,0.4285714,1.179492,0.01182847,0.0048102513,abiotic,0.815538100,0.184461900
5934,0.7715512, 133,0.4285714,1.180352,0.01183758,0.0047888660,abiotic,0.694068540,0.305931460
5935,0.7340481, 133,0.4285714,1.180239,0.01183639,0.0026445960,biotic,0.368269252,0.631730748
5937,0.6934596, 323,0.4897959,1.178622,0.01182177,0.0034539829,abiotic,0.286512147,0.713487853
5938,0.7358342, 323,0.4285714,1.179874,0.01183343,0.0032126682,biotic,0.320650187,0.679349813
5941,0.7615006, 133,0.4285714,1.180544,0.01184036,0.0027840102,abiotic,0.754649031,0.245350969
5942,0.7982583, 133,0.4285714,1.179750,0.01183233,0.0019357773,abiotic,0.898988610,0.101011390
5945,0.7511302, 323,0.4285714,1.180538,0.01184018,0.0022019273,abiotic,0.611340690,0.388659310
5946,0.7702689, 133,0.4285714,1.180252,0.01183738,0.0028313121,abiotic,0.738354868,0.261645132
5947,0.7594700, 133,0.4285714,1.180390,0.01183861,0.0023430198,abiotic,0.778275708,0.221724292
5948,0.7452861, 323,0.4285714,1.180523,0.01184013,0.0050357946,biotic,0.665916838,0.334083162
5949,0.7416289, 133,0.4285714,1.180937,0.01184418,0.0052368332,abiotic,0.808611027,0.191388973
5951,0.7457169, 323,0.4285714,1.180073,0.01183576,0.0026195807,abiotic,0.434470275,0.565529725
5952,0.7933261, 133,0.4285714,1.179834,0.01183325,0.0029098637,abiotic,0.945761030,0.054238970
5953,0.8090742, 133,0.4285714,1.179510,0.01183044,0.0054609785,abiotic,0.928006556,0.071993444
5954,0.7685916, 133,0.4285714,1.178803,0.01182364,0.0016745455,biotic,0.242380412,0.757619588
5955,0.7629245, 133,0.4285714,1.179075,0.01182595,0.0012977569,biotic,0.328734206,0.671265794
5957,0.7688699, 133,0.4285714,1.180392,0.01183845,0.0068981295,abiotic,0.306598974,0.693401026
5958,0.8114262, 133,0.4285714,1.179577,0.01183056,0.0044640661,abiotic,0.921057591,0.078942409
5960,0.7363367, 323,0.4285714,1.180744,0.01184147,0.0037458453,biotic,0.549487496,0.450512504
5961,0.7418196, 133,0.4285714,1.180390,0.01183776,0.0030572510,biotic,0.368332871,0.631667129
2960,0.7239426, 133,0.4081633,1.176956,0.01182846,0.0029470941,biotic,0.092125282,0.907874718
2992,0.7314362, 133,0.4081633,1.178774,0.01184947,0.0031376363,biotic,0.151497708,0.848502292
2996,0.7341232, 133,0.4081633,1.178854,0.01184980,0.0036689591,biotic,0.101204030,0.898795970
3231,0.7354808, 133,0.3469388,1.179963,0.01186026,0.0033959946,abiotic,0.909029979,0.090970021
3232,0.7209758, 133,0.3469388,1.176966,0.01183034,0.0021748543,abiotic,0.896712182,0.103287818
3255,0.7156866,4038,0.3469388,1.177058,0.01182737,0.0022454135,abiotic,0.943415452,0.056584548
3256,0.7144453,4038,0.3469388,1.177096,0.01182737,0.0022923790,abiotic,0.952455601,0.047544399
3268,0.7098021, 133,0.3469388,1.177171,0.01182972,0.0034967916,abiotic,0.930916521,0.069083479
3269,0.7136973,4038,0.3469388,1.176906,0.01182709,0.0026320267,abiotic,0.894577445,0.105422555
4924,0.7252367, 799,0.3469388,1.180314,0.01185113,0.0040727316,abiotic,0.950033035,0.049966965
4933,0.7310875, 323,0.4081633,1.181027,0.01185195,0.0030243357,abiotic,0.950088134,0.049911866
4934,0.7320568, 323,0.4081633,1.181211,0.01185287,0.0034465253,abiotic,0.911717802,0.088282198
4947,0.7970162, 133,0.4081633,1.179788,0.01183887,0.0039354466,abiotic,0.932715778,0.067284222
4950,0.7305809, 323,0.4081633,1.180721,0.01185411,0.0043320068,abiotic,0.447303577,0.552696423
4954,0.7150232, 323,0.4081633,1.179970,0.01183456,0.0036692482,abiotic,0.787583814,0.212416186
4958,0.7209373, 799,0.4081633,1.181972,0.01185969,0.0061822753,abiotic,0.913760486,0.086239514
4962,0.7991411, 323,0.4081633,1.179712,0.01184337,0.0023601200,abiotic,0.980007441,0.019992559
4970,0.7936697, 323,0.4081633,1.179354,0.01183904,0.0026468575,abiotic,0.981208688,0.018791312
5756,0.8070382, 133,0.3877551,1.178613,0.01182640,0.0013102215,abiotic,0.928733978,0.071266022
5761,0.8091237, 133,0.3877551,1.179381,0.01182710,0.0019873020,abiotic,0.969811955,0.030188045
5764,0.8100405, 133,0.3877551,1.179479,0.01182842,0.0036498317,abiotic,0.994059479,0.005940521
5768,0.7918716, 323,0.3469388,1.178874,0.01182992,0.0036118601,abiotic,0.941337321,0.058662679
5881,0.7494718, 133,0.4285714,1.179921,0.01183808,0.0058162766,biotic,0.527636044,0.472363956
5889,0.7691817, 133,0.4285714,1.178920,0.01182636,0.0022330491,biotic,0.333588432,0.666411568
5903,0.7995560, 133,0.4285714,1.179377,0.01183093,0.0027770254,abiotic,0.936948843,0.063051157
5911,0.7087883, 323,0.4285714,1.178994,0.01182195,0.0034425716,biotic,0.577904797,0.422095203
5913,0.8135761, 133,0.4285714,1.179645,0.01182780,0.0019353155,biotic,0.956871702,0.043128298
5917,0.7473152, 133,0.4285714,1.179763,0.01182880,0.0084191303,biotic,0.149663202,0.850336798
5929,0.7410574, 133,0.4285714,1.179414,0.01182863,0.0033022642,biotic,0.177492953,0.822507047
5939,0.7405218, 133,0.4285714,1.180668,0.01184107,0.0030915833,biotic,0.462967214,0.537032786
5944,0.7318990, 323,0.4285714,1.180432,0.01183900,0.0022384920,biotic,0.495591694,0.504408306
5950,0.7510807, 133,0.4285714,1.181049,0.01184520,0.0046033914,abiotic,0.936096485,0.063903515
5956,0.7474498, 323,0.4285714,1.180162,0.01183670,0.0033486918,abiotic,0.466736554,0.533263446
5959,0.7377971, 133,0.4285714,1.179716,0.01183200,0.0028880994,biotic,0.198245627,0.801754373
